title,placeUrl,website,status,subtitle,rating,reviewCount,category,address,phoneNumber,searchQuery,email,phoneFromWebsite
CWB Energy - Soluções em Energia Solar Curitiba,https://www.google.com/maps/place/CWB+Energy+-+Solu%C3%A7%C3%B5es+em+Energia+Solar+Curitiba/data=!4m7!3m6!1s0x94dce781d6e677e7:0x13a420e5b75e5a63!8m2!3d-25.3908831!4d-49.2456884!16s%2Fg%2F11fm5kgf8t!19sChIJ53fm1oHn3JQRY1pet-UgpBM,http://www.cwbenergy.com.br/,Data found,,"4,3",6,Fornecedor de equipamentos a energia solar,"R. N. Sra. de Nazaré, 1122 - Boa Vista, Curitiba - PR, 82560-000, Brasil",+55 41 3618-0056,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",contato@cwbenergy.com.br,+55 (41) 9.9905-8507
Gratiluz Energia,https://www.google.com/maps/place/Gratiluz+Energia/data=!4m7!3m6!1s0x94dce7e69fccbbeb:0xe4ced3adf2090c97!8m2!3d-25.3908003!4d-49.2411129!16s%2Fg%2F11t0yyw8rm!19sChIJ67vMn-bn3JQRlwwJ8q3TzuQ,http://www.gratiluzenergia.com.br/,No data found,,"5,0",16,Fornecedor de equipamentos a energia solar,"Rua José Merhy, 1255 - Boa Vista, Curitiba - PR, 82560-440, Brasil",+55 41 99102-5051,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",,
Energia Leve - Energia Solar Fotovoltaica,https://www.google.com/maps/place/Energia+Leve+-+Energia+Solar+Fotovoltaica/data=!4m7!3m6!1s0x94dce41384175783:0x3e698e2fc9a28fad!8m2!3d-25.3949382!4d-49.2262866!16s%2Fg%2F11dxrzw9gn!19sChIJg1cXhBPk3JQRrY-iyS-OaT4,https://energialeve.com/,Data found,,"4,3",23,Fornecedor de equipamentos a energia solar,"Rua Luis Manoel Agner, 11 - Sala 21 - Bacacheri, Curitiba - PR, 82600-400, Brasil",+55 41 3524-9474,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",comercial@energialeve.com,(41) 3524-9474
Simprosol,https://www.google.com/maps/place/Simprosol/data=!4m7!3m6!1s0x94dce7a8d2f00dab:0x94fb07a397dcd0e1!8m2!3d-25.3950943!4d-49.2411616!16s%2Fg%2F11kjbc4_jv!19sChIJqw3w0qjn3JQR4dDcl6MH-5Q,https://www.solutudo.com.br/empresas/pr/curitiba/energia-solar/simprosol-23130464,Data found,,"5,0",1,Fornecedor de equipamentos a energia solar,"R. Canadá, 979 - Bacacheri, Curitiba - PR, 82510-290, Brasil",+55 41 99161-6025,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",comercial@simprosol.com.br,12345678910
JS ENERGIA SOLAR,https://www.google.com/maps/place/JS+ENERGIA+SOLAR/data=!4m7!3m6!1s0x94dce71e96f84a77:0x20b95a26311177d!8m2!3d-25.3894481!4d-49.2377847!16s%2Fg%2F11fw8g8gqc!19sChIJd0r4lh7n3JQRfRcRY6KVCwI,http://www.solbrasilenergia.com.br/,Data found,,"5,0",1,Empresa de energia solar,"R. Antônio Lago, 70 - loja 10 - Boa Vista, Curitiba - PR, 82560-430, Brasil",+55 41 99616-5168,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",contato@solbrasilenergia.com.br,(46) 9 9119-6541
mbf energia solar,https://www.google.com/maps/place/mbf+energia+solar/data=!4m7!3m6!1s0x94dce725f4ed053f:0x8ccc5638e2a11fc3!8m2!3d-25.4009709!4d-49.262749!16s%2Fg%2F11h37mxjpm!19sChIJPwXt9CXn3JQRwx-h4jhWzIw,https://www.mbfenergiasolar.com.br/,Data found,,"1,0",1,Fornecedor de equipamentos a energia solar,"R. Alberto Folloni, 1637 - Ahú, Curitiba - PR, 80540-000, Brasil",+55 41 99774-5067,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",,
Nobel Energia Solar,https://www.google.com/maps/place/Nobel+Energia+Solar/data=!4m7!3m6!1s0x94dce7cda6ee4015:0xc6dd63960688c855!8m2!3d-25.4058904!4d-49.2663038!16s%2Fg%2F11q4bkyr80!19sChIJFUDups3n3JQRVciIBpZj3cY,,No website found,,,,Fornecedor de equipamentos a energia solar,"R. Francisco de Paula Guimarães, 70 - Ahú, Curitiba - PR, 80540-040, Brasil",+55 44 99710-5907,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",,
Lux Energy - Energia Solar Fotovoltaica,https://www.google.com/maps/place/Lux+Energy+-+Energia+Solar+Fotovoltaica/data=!4m7!3m6!1s0x94dce4368a7c0001:0x226238e2b91bf1a1!8m2!3d-25.421008!4d-49.249789!16s%2Fg%2F11g6xq2mk8!19sChIJAQB8ijbk3JQRofEbueI4YiI,https://luxenergy.com.br/,Data found,,"5,0",3,Fornecedor de equipamentos a energia solar,"R. Conselheiro Carrão, 831 - Juvevê, Curitiba - PR, 80040-130, Brasil",+55 41 98823-7624,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",luxenergy@luxenergy.com.br,(41) 3205-7712
SegEnergy Curitiba,https://www.google.com/maps/place/SegEnergy+Curitiba/data=!4m7!3m6!1s0x94dce544d338a605:0x3fe352c753560d12!8m2!3d-25.4109838!4d-49.2552044!16s%2Fg%2F11t96gr1j7!19sChIJBaY400Tl3JQREg1WU8dS4z8,https://segenergysolar.com.br/unidades/,No data found,,"5,0",2,Fornecedor de equipamentos a energia solar,"R. Bom Jesus, 212 - Juvevê, Curitiba - PR, 80035-010, Brasil",+55 41 99126-7973,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",,
Sunray Energia Solar,https://www.google.com/maps/place/Sunray+Energia+Solar/data=!4m7!3m6!1s0x94dce56c17ccac17:0x18cc8a120494cc39!8m2!3d-25.4205307!4d-49.2680691!16s%2Fg%2F11kk45lk4r!19sChIJF6zMF2zl3JQROcyUBBKKzBg,https://www.solutudo.com.br/empresas/pr/curitiba/energia-solar/sunray-energia-solar-23130836,Data found,,"5,0",14,Fornecedor de equipamentos a energia solar,"R. Heitor Stockler de França, 396 - Centro Cívico, Curitiba - PR, 80030-030, Brasil",+55 41 99634-1155,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",sunrayenergiasolar@gmail.com,12345678910
SUNTECH ENERGIA SOLAR,https://www.google.com/maps/place/SUNTECH+ENERGIA+SOLAR/data=!4m7!3m6!1s0x94dce72a358d7f53:0xabc908fb2a6ef7da!8m2!3d-25.3950076!4d-49.2715307!16s%2Fg%2F11rtc77vjn!19sChIJU3-NNSrn3JQR2vduKvsIyas,https://www.suntechltda.com.br/,No data found,,,,Escritório da empresa,"R. Mateus Leme, 3663 - São Lourenço, Curitiba - PR, 82200-000, Brasil",+55 41 3353-2826,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",,
Ecosole Energias Renováveis,https://www.google.com/maps/place/Ecosole+Energias+Renov%C3%A1veis/data=!4m7!3m6!1s0x94dce55aca6c7435:0xed63b269e6cd017d!8m2!3d-25.410253!4d-49.2402159!16s%2Fg%2F11h8cy_l6c!19sChIJNXRsylrl3JQRfQHN5mmyY-0,http://www.ecosole.com.br/CONTATO,Data found,,,,Equipamentos e soluções de energia,"R. Venezuela, 84 - Box 01 - Bacacheri, Curitiba - PR, 82510-100, Brasil",+55 41 98496-1334,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",contato@ecosole.com.br,(41) 3503-6244
Amicta Sole Energia Fotovoltaica,https://www.google.com/maps/place/Amicta+Sole+Energia+Fotovoltaica/data=!4m7!3m6!1s0x94dce7bfd496e1dd:0xb50c5ad8e013f78c!8m2!3d-25.4097954!4d-49.2711112!16s%2Fg%2F11tsk2ys_j!19sChIJ3eGW1L_n3JQRjPcT4NhaDLU,https://amictasole.com.br/,Data found,,"5,0",16,Fornecedor de equipamentos a energia solar,"R. Mateus Leme, 1970 - Centro Cívico, Curitiba - PR, 80530-010, Brasil",+55 41 99167-6939,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",amictasole.energia@gmail.com,(41) 99167-6939
Solar com Economia,https://www.google.com/maps/place/Solar+com+Economia/data=!4m7!3m6!1s0x94dcfbbd1ad3a679:0x2a14b242bb2ef075!8m2!3d-25.4110805!4d-49.2601698!16s%2Fg%2F11tfsz3fyk!19sChIJeabTGr373JQRdfAuu0KyFCo,http://www.solarcomeconomia.com.br/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=15099689792622731457,Data found,,"5,0",14,Fornecedor de equipamentos a energia solar,"Travessa Polysú, 44 - Sala 9 - Juvevê, Curitiba - PR, 80530-330, Brasil",+55 41 99288-4298,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",contato@solarcomeconomia.com,+55 41 99288-4298
DUTUS Sol - Energia Solar e Engenharia,https://www.google.com/maps/place/DUTUS+Sol+-+Energia+Solar+e+Engenharia/data=!4m7!3m6!1s0x94dce5beb897610f:0x608f55a0367c7522!8m2!3d-25.3900085!4d-49.2437657!16s%2Fg%2F11rkb10rqb!19sChIJD2GXuL7l3JQRInV8NqBVj2A,https://dutussol.eng.br/,Data found,,"5,0",22,Fornecedor de equipamentos a energia solar,"Rua Vicente Ciccarino - Boa Vista, Curitiba - PR, 82560-410, Brasil",+55 41 3906-0835,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",solar@dutus.eng.br,(41) 3906-0835
Fator Solar Energias Renováveis,https://www.google.com/maps/place/Fator+Solar+Energias+Renov%C3%A1veis/data=!4m7!3m6!1s0x94dce3e20d15a8ed:0x58a3b6e8d234ad15!8m2!3d-25.4191098!4d-49.2836875!16s%2Fg%2F11cjj05hs8!19sChIJ7agVDeLj3JQRFa000ui2o1g,http://www.fatorsolar.eco.br/,Data found,,"4,9",30,Fornecedor de equipamentos a energia solar,"R. Cel. João Guilherme Guimarães, 350 - Mercês, Curitiba - PR, 80510-350, Brasil",+55 41 3205-5667,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",,(41) 3205-5667
Solar2E Energia Eficiente,https://www.google.com/maps/place/Solar2E+Energia+Eficiente/data=!4m7!3m6!1s0x94dce523fef71f89:0x57b5f807b2c42f53!8m2!3d-25.4272755!4d-49.2633199!16s%2Fg%2F11fkynz176!19sChIJiR_3_iPl3JQRUy_Esgf4tVc,,No website found,,,,Fornecedor de equipamentos a energia solar,"R. Amintas de Barros, 240 - CJ 2403B - Centro, Curitiba - PR, 80060-205, Brasil",+55 41 99944-1497,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",,
Energia Solar Curitiba SOLARE,https://www.google.com/maps/place/Energia+Solar+Curitiba+SOLARE/data=!4m7!3m6!1s0x94dce3f0e457d439:0xe7e22619c7e7ea06!8m2!3d-25.4294372!4d-49.2909597!16s%2Fg%2F11cryfhypm!19sChIJOdRX5PDj3JQRBurnxxkm4uc,http://www.solare.eng.br/,Data found,,"5,0",9,Empresa de energia solar,"R. Padre Anchieta, 1150 - Bigorrilho, Curitiba - PR, 80730-000, Brasil",+55 41 99222-3012,"https://www.google.com/maps/search/energia+solar+em+curitiba/@-25.4572096,-49.3575847,12z/data=!3m1!4b1?entry=ttu",jloup@gzip.org,(41) 99222 3012
